department,abstract
1," Chilean primary healthcare practice is analyzed using a Data Envelopment Analysis (DEA) multiple stage approach. We estimate the efficiency level of 259 municipalities nationwide. Since the efficiency score by itself is of limited value for decision making, we use a multivariate tool to help explain the effect of relevant factors. First, we use a cluster analysis to homogenize the units under study. Second, we use DEA to estimate the efficiency levels, which varies from 61% to 71% for urban municipalities, and from 51% to 56% in rural ones. Third, we use bootstrap to estimate confidence intervals for the efficiency scores, and a Biplot method to identify adequate variables to include in the Tobit Model, which is our last stage. We identify six factors associated with rural municipalities’ operational efficiency, and two with urban ones. Knowing the efficiency level of municipalities can help determine ways to improve…"
1,"Attempting to deepen the understanding of factors that explain student performance, this study seeks to identify and characterize profiles of Chilean students based on academic performance in mathematics. As analytical method, statistical techniques known as random forest (RF) and classification and regression tree (CART) were used to identify groups of eighth-grade elementary students according to their performance in 2011 test, using features related to individual and family behavior. The analysis was performed with a database provided by the Education Quality Measurement System of Chile. Results show that “parents’ educational expectations” (42.7%) is key factor to obtain the best children's performances. Additionally, the analysis showed that the “type of school” (26.6%) and the “index of mathematical abilities” (26.1%) influence good performance."
1,"The export of fresh blueberries is an important productive activity in Chile, in terms of the labour employed, the number of hectares cultivated and the resulting trade flow with the northern hemisphere. The export of fresh blueberries requires planning based on early estimates of the yield of the orchard. The growers keep plots with plants of more or less the same age and variety; thus, it is possible to estimate the yield of the whole orchard, based on the yield per plant. Two factors must be considered in estimating the yield per plant: the number of fruits and their fresh weight. An early estimate of the number of fruits can be based on the number of flower buds and their viability during flowering and fruit development. The aim of the research was to find a way of estimating plant yields in commercial orchards by proposing models which relate the number of fruits available for harvest to the number of flower buds and to …"
1,"The initial microflora of minimally processed celery and cabbage packaged under a modified atmosphere was determined. The samples came from the same producer and were sold in a supermarket chain of Santiago, Chile. Although neither E. coli nor Salmonella spp. were detected, initial total plate and Enterobacteriaceae counts were high (≥ 105 cfu/g), not meeting in most cases the specifications of the Chilean legislation. The D10 value for two strains of E. coli (ATCC 8739 and a wild type) inoculated as indicator microorganisms was determined. After irradiating with 5 D10 doses (1kGy), the variation of the microbial population and sensory quality during a 7 days storage period at 5ºC was studied. In irradiated celery, a reduction of 4.7 and 3.8 logs for total plate and Enterobacteriaceae counts respectively was observed. There was a decrease of 3.8 and 3.6 logs in cabbage for total plate and Enterobacteriaceae counts respectively. In both irradiated and non-irradiated vegetables, neither E. coli nor Salmonella spp. were detected. An increase of 1.6 - 1.7 logs in both microbiological parameters in non-irradiated samples was observed during storage. In irradiated products, only celery showed an increase of 1.2 log in total plate count. Both Enterobacteriaceae count in the two vegetables and Total plate count in cabbage presented essentially no variation in time. No significant differences (p ≥0.05) were detected in sensory total quality between the control and the irradiated vegetable and between days of storage."
1,"In the context of multidimensional structures, with the presence of a common factor and multiple specific or group factors, estimates of reliability require specific estimators. The use of classical procedures such as the alpha coefficient or omega total that ignore structural complexity are not appropriate, since they can lead to strongly biased estimates. Through a simulation study, the bias of six estimators of reliability in multidimensional measures was evaluated and compared. The study is complemented by an empirical illustration that exemplifies the procedure. Results showed that the estimators with the lowest bias in the estimation of the total reliability parameter are omega total, the two versions of Greatest Lower Bound (GLB) and the alpha coefficient, which in turn are also those that produce the highest overestimation of the reliability of the general factor. Nevertheless, the most appropriate estimators, in that they produce less biased estimates of the reliability parameter of the general factor, are omega limit and omega hierarchical."
1,"Nowadays, people spend long periods on social media, ignoring the implications this carries in daily life. In this context, the concept of social media literacy, an emerging concept scarcely developed in the literature, is relevant. This study sought to analyze, descriptively, the main definitions and competences of the concept of social media literacy. The methodology included a systematic search of literature in the databases Web of Science, PubMed, and Scopus between 2010 and 2021, applying filters for English and Spanish, including only scientific articles. A total of 1093 articles were obtained. An article selection process took place, applying the inclusion and exclusion criteria, resulting in a total of 15 articles being selected. The findings indicate that the concept of social media literacy is based on media literacy to then integrate the characteristics and the implications of digital platforms. This is linked to the development of cognitive competences, where critical thinking, socio-emotional competences, and technical competences are fundamental, considering the social context. The development of socio-emotional competences stands out since social media are a frequent place of interaction between people."
1,"Background: Among other negative effects, herbicides induce oxidative stress, leading to lipid peroxidation and protein oxidation. Therefore, there is a growing need to identify natural compounds with sufficient antioxidant capacity and mitigate the negative effects of herbicides without side effects.Objective: Our study aimed to examine the protective effect of the phenolic extract of wild garlic (WG) leaves on terbuthylazine-treated erythrocytes.Material and methods: In human erythrocytes treated with the herbicide terbuthylazine (4.5 mg/L) alone and a combination of terbuthylazine and WG extract, we measured malondialdehyde (MDA) and haemoglobin (Hb) concentrations and the antioxidant activities of CuZn superoxide dismutase (SOD1; EC 1.15.1.1) and catalase (CAT; EC 1.11.1.6) in vitro.Results: In comparison with terbuthylazine, WG extract reduced the concentrations of MDA and Hb from 59.69 to 43.45 …"
1,"Seasonal variations in the environment (e.g. of temperature and light    intensity) can lead to the excess production of reactive oxygen species and    oxidative stress, inducing changes in the permeability of the plant cell    membrane and the structure and function of cellular molecules. To address    these deleterious effects, plants activate various non-enzymatic and    enzymatic antioxidants. This study seeks to detect the influence of seasonal    variation in Hedera helix (ivy) leaves, collected in Banj brdo (Banja Luka,    Republika Srpska, Bosnia and Herzegovina) between December 2017 and November    2018, on oxidative (hydrogen peroxide and malondialdehyde) and antioxidant    (superoxide dismutase, catalase, Class III peroxidases, and phenolic    compounds) parameters. During the winter-early spring months (a temperature    range of 0.7 to 5.4°C), we detected an increase in the values of all the    oxidative and antioxidant parameters, whereas during the spring, summer, and    autumn months (a temperature range of 15 to 25°C), the values of most of    these parameters fell. However, a peak in the parameter values was detected    during June and July 2018, which might be attributable to the influence of    the changes in both light intensity and temperature and to the effects of    intensive shoot growth. Our results highlight the importance of the    antioxidant protection system of H. helix for its acclimation to seasonal    variations in the environment, especially temperature."
1,"The object of this paper is to prove some general results about rational idempotents for a finite group G and deduce from them geometric information about the components that appear in the decomposition of the Jacobian variety of a curve with G-action. We give an algorithm to find explicit primitive rational idempotents for any G, as well as for rational projectors invariant under any given subgroup. These explicit constructions allow geometric descriptions of the factors appearing in the decomposition of a Jacobian with group action: from them we deduce the decomposition of any Prym or Jacobian variety of an intermediate cover, in the case of a Jacobian with G-action. In particular, we give a necessary and sufficient condition for a Prym variety of an intermediate cover to be such a factor."
1," In this note we consider a certain class of closed Riemann surfaces which are a natural generalization of the so called classical Humbert curves. They are given by closed Riemann surfaces S admitting H ≅ ℤ                   2 k                  as a group of conformal automorphisms so that S/H is an orbifold of signature (0, k + 1; 2,…, 2). The classical ones are given by k = 4. Mainly, we describe some of its generalities and provide Fuchsian, algebraic and Schottky descriptions."
1,"In genus four there is only one Riemann surface admitting the symmetric group of order five as group of automorphisms: we compute its Riemann matrix. On the other hand, we show that there is a one complex parameter family of Jacobians admitting the same group of automorphisms and using the Schottky relation we give a non-trivial equation vanishing exactly on the matrix of the surface."
1,"In this paper, we study a one dimensional family of curves of genus three, with 64 action, giving their Fuchsian uniformizations, and their Jacobians, each of which is biholomorphically equivalent to a product of three elliptic curves."
1,"1. Introduction. Let M be a compact Riemann surface and J (M) its Jacobi variety obtained from the surface via the matrix of periods of abelian differentials. A very puzzling problem is that of the determination of the surfaces which admit a maximal group of automorphisms, maximal in the sense that the surfaces have zero moduli. The interest arises on the one hand because one may hope for an explicit computation ofJ (M) in these cases and on the other hand because they give points where the moduli space can be singular. The surfaces with a cyclic group of automorphisms are of special significance and were studied by Scorza, Lefschetz, and Weil among others, all ofwhom obtained partial results. The purpose of this paper is to present the complete solution to this problem. Before goinginto the details however, we will give a brief sketch of its history."
1,"We study curves with action of a dihedral group, and give an equivariant decomposition of their Jacobians into geometric factors on each of which there acts precisely one of the rational irreducible representations of the dihedral group."
1,"New topics include Bers's theorem on isomorphisms between rings of holomorphic functions on plane domains, necessary and sufficient conditions for the existence of a bounded analytic function on the disc, subharmonic functions, Perron's principle, the ring of holomorphic functions on a plane domain, solutions to the Dirichlet problem, Green's function and its relation to the Riemann Mapping Theorem"
1,"This book is intended for a graduate course on complex analysis, also known as function theory. The main focus is the theory of complex-valued functions of a single complex variable. This theory is a prerequisite for the study of many current and rapidly developing areas of mathematics including the theory of several and infinitely many complex variables, the theory of groups, hyperbolic geometry and three-manifolds, and number theory. Complex analysis has connections and applications to many other subjects in mathematics and to other sciences. It is an area where the classic and the modern techniques meet and benefit from each other. This material should be part of the education of every practicing mathematician, and it will also be of interest to computer scientists, physicists, and engineers.The first part of the book is a study of the many equivalent ways of understanding the concept of analyticity. The many …"
1,"We describe the isotypical decomposition of the Jacobian variety JW of the Galois extension W-->T of any fourfold cover of smooth connected irreducible projective complex curves X-->T, in terms of Prym's of intermediate covers. We also compute the degree of the isogenies involved and as a result we obtain new proofs of the bigonal and trigonal constructions. Furthermore, we give examples of families of Jacobians isogenous to a product of Jacobians and of families of Prym varieties isogenous to the product of elliptic curves."
1,"We prove that given a finite group G together with a set of fixed geometric generators, there is a family of special hyperbolic polygons that uniformize the Riemann surfaces admitting the action of G with the given geometric generators. From these special polygons, we obtain geometric information for the action: a basis for the homology group of surfaces, its intersection matrix, and the action of the given generators of G on this basis. We then use the Frobenius algorithm to obtain a symplectic representation G of G corresponding to this action. The fixed point set of G in the Siegel upper half-space corresponds to a component of the singular locus of the moduli space of principally polarized abelian varieties. We also describe an implementation of the algorithm using the open source computer algebra system SAGE."
1,"For each  greater than or equal to two, we give a family of dimensional, irreducible principally polarized abelian varieties isomorphic to a product of elliptic curves. This family corresponds to the modular curve . References"
1," Let S be a compact Riemann surface and let H be a finite group. It is known that if H acts on S, then there is a H-equivariant isogeny decomposition of the Jacobian variety JS of S,  called the group algebra decomposition of JS with respect to H. If  is a regular covering map, then it is also known that the group algebra decomposition of  induces an isogeny decomposition of  In this article we deal with the converse situation. More precisely, we prove that the group algebra decomposition can be lifted under regular covering maps, under appropriate conditions."
1,"In several papers written in the years 1884-1909, cf.[6], Henri Poincar6 studied special cases of Riemann surfaces with automorphisms pursuing the relations that appear between polygons in non-euclidean geometry, Riemann matrices and the equations of curves in projective plane.Nevertheless in this extensive survey some of the proofs remain unclear and this leads into doubtful results. To be precise we present here one of such conclusions that motivates the rest of this paper. Consider a Riemann surface of genus three that admits an automorphism of order two; the surface is given by a non-singular curve C of degree four in the complex projective plane. Poincar6's argument then runs as follows: The quotient by the involution is a curve D of degree four with a single ordinary double point P. The lines through P cut D at two points that come in pairs from the intersections of lines with C. Since there are six …"
1,"In this survey we review part of the theory of abelian varieties with group actions.As an application, we study the group algebra decomposition for principally polarized abelian varieties admitting an involution. We give the dimensions and polarizations of the factors and the kernel of the corresponding isogenies, for each conjugacy type of symplectic involution, and describe the associated period matrices."
1,"We construct and study two series of curves whose Jacobians admit complex multiplication. The curves arise as quotients of Galois coverings of the projective line with Galois group metacyclic groups  of order  with  an odd prime, and  of order . The complex multiplications arise as quotients of double coset algebras of the Galois groups of these coverings. We work out the CM-types and show that the Jacobians are simple abelian varieties. References"
1,"We construct a linear pencil C t of curves in, such that for each t∈ 1, Aut (C t) contains the alternating group U _5 and we describe the curves of the pencil contained on the boundary of."
1,"In “On Schottky-type … I”, we embedded ST (s,t), the Schottky-type space of type (s,t) with p = s + t.  By adding certain points of its boundary to ST (s,t), we form a new domain of holomorphy, ST ∗, in                                    , and show that its points represent all compact Riemann surfaces of genus p, with at most p + s nodes, p of them dividing and s of them non-dividing, and with at most p + s parts: t of type (1,1), s of type (0,3), and one of type (0, p).  Finally, we study the boundary of ST ∗, and conclude that it contains Kleinian groups of the first kind, cusps, non-discrete groups, and the Riemann surfaces with at most 3p - 3 nodes obtained by pinching a compact Riemann surface of genus p along a system of at most p non-dividing curves and at most 2p - 3 dividing curves."
1,"Let G denote a finite group, with M C N C G subgroups. If G acts on an algebraic curve W as a group of automorphisms, then the isotypical decomposition of JW with respect to the given G-action carries over to the intermediate Prym variety P (W/M–W/N). It may well happen that two such Prym varieties have the same decomposition and are therefore isogenous, without the corresponding pairs of subgroups being conjugate in G. We show that such a case appears when G is the dihedral group of order eight; we compute the degree of this natural isogeny, and obtain the bigonal construction as a special case."
1,"A closed Riemann surface S is a generalized Fermat curve of type (k,n) if it admits a group of automorphisms H≅Zkn such that the quotient O=S/H is an orbifold with signature (0,n+1;k,…,k), that is, the Riemann sphere with (n+1) conical points, all of same order k. The group H is called a generalized Fermat group of type (k,n) and the pair (S,H) is called a generalized Fermat pair of type (k,n). We study some of the properties of generalized Fermat curves and, in particular, we provide simple algebraic curve realization of a generalized Fermat pair (S,H) in a lower-dimensional projective space than the usual canonical curve of S so that the normalizer of H in Aut(S) is still linear. We (partially) study the problem of the uniqueness of a generalized Fermat group on a fixed Riemann surface. It is noted that the moduli space of generalized Fermat curves of type (p,n), where p is a prime, is isomorphic to the moduli space of …"
1," The known examples of explicit equations for Riemann surfaces whose field of moduli is different from their field of definition, are all hyperelliptic. In this paper we construct a family of equations for non-hyperelliptic Riemann surfaces, each of them is isomorphic to its conjugate Riemann surface, but none of them admit an anticonformal automorphism of order 2; that is, each of them has its field of moduli, but not a field of definition, contained in  . These appear to be the first explicit such examples in the non-hyperelliptic case."
1," In this note we consider a certain class of closed Riemann surfaces which are a natural generalization of the so called classical Humbert curves. They are given by closed Riemann surfaces S admitting H ≅ ℤ                   2 k                  as a group of conformal automorphisms so that S/H is an orbifold of signature (0, k + 1; 2,…, 2). The classical ones are given by k = 4. Mainly, we describe some of its generalities and provide Fuchsian, algebraic and Schottky descriptions."
1,"We consider a closed Riemann surface S and a group H of conformal automorphisms of S. We seek a Schottky uniformization (Ω, G, π: Ω→ S) of the surface S with the property that every element of H can be lifted to a conformal automorphism of the region Ω. We obtain necessary conditions, called Condition (A), on the set of fixed points of the non-trivial elements of H in order to find a Schottky uniformization as desired. For instance, Condition (A) is trivially satisfied by groups acting freely, groups isomorphic to Z/2Z⊕···⊕ Z/2Z and dihedral groups. We show that Condition (A) is sufficient when H is a cyclic group."
1,"Let K be an algebraically closed field of characteristic p≥ 0. A generalized Fermat curve of type (k, n), where k, n≥ 2 are integers (for p≠ 0 we also assume that k is relatively prime to p), is a non-singular irreducible projective algebraic curve F k, n defined over K admitting a group of automorphisms H≅ Z k n so that F k, n/H is the projective line with exactly (n+ 1) cone points, each one of order k. Such a group H is called a generalized Fermat group of type (k, n). If (n− 1)(k− 1)> 2, then F k, n has genus g n, k> 1 and it is known to be non-hyperelliptic. In this paper, we prove that every generalized Fermat curve of type (k, n) has a unique generalized Fermat group of type (k, n) if (k− 1)(n− 1)> 2 (for p> 0 we also assume that k− 1 is not a power of p). Generalized Fermat curves of type (k, n) can be described as a suitable fiber product of (n− 1) classical Fermat curves of degree k. We prove that, for (k− 1)(n− 1)> 2 (for p> 0 …"
1,"A closed Riemann surface of genus at least 2 can be described by many different objects, for instance, by algebraic curves and by torsion-free co-compact Fuchsian groups. If a torsion-free co-compact Fuchsian group is provided, then in general it is a difficult task to obtain an algebraic curve describing the surface uniformized by the given Fuchsian group. We consider those closed Riemann surfaces appearing as a maximal Abelian cover of an orbifold; called homology closed Riemann surfaces. These surfaces are uniformized by the (torsion-free) derived subgroup of certain co-compact Fuchsian groups of genus zero. We describe a general method to obtain algebraic curves for homology closed Riemann surfaces. We make this explicit for the case of (i) hyperelliptic homology closed Riemann surfaces and (ii) homology closed Riemann surfaces being the highest Abelian covers of orbifolds with triangular …"
1,"A group H of (conformal/anticonformal) automorphisms of a closed Riemann surface S of genus g≥ 2 is said of Schottky type if there is a Schottky uniformization of S for which it lifts. We observe that H is of Schottky type if and only if it leaves invariant a collection of pairwise disjoint simple loops which disconnect S into genus zero surfaces. Moreover, in the case that H is a cyclic group (either generated by a conformal or an anticonformal automorphism) we provide a simple to check necessary and sufficient condition in order for it to be of Schottky type."
1,"Let y, r, s,≥ 1 be non-negative integers. If p is a prime sufficiently large relative to the values y, r and s, then a group H of conformal automorphisms of a closed Riemann surface S of order ps so that S/H has signature (γ, r) is the unique such subgroup in Aut (S). Explicit sharp lower bounds for p in the case (γ, r, s)∈{(1, 2, 1),(0, 4, 1)} are provided. Some consequences are also derived."
1,"The goal of this paper is to describe a theoretical construction of an infinite collection of non-classical Schottky groups. We first show that there are infinitely many non-classical noded Schottky groups on the boundary of Schottky space, and we show that infinitely many of these are “sufficiently complicated”. We then show that every Schottky group in an appropriately defined relative conical neighborhood of any sufficiently complicated noded Schottky group is necessarily non-classical. Finally, we construct two examples; the first is a noded Riemann surface of genus  that cannot be uniformized by any neoclassical Schottky group (ie, classical noded Schottky group); the second is an explicit example of a sufficiently complicated noded Schottky group in genus . References"
1,"Let us consider a pair (S, H) consisting of a closed Riemann surface S and an Abelian group H of conformal automorphisms of S. We are interested in finding uniformizations of S, via Schottky groups, which reflect the action of the group H. A Schottky uniformization of a closed Riemann surface S is a triple (Ώ, G, π:Ώ→S) where G is a Schottky group with Ώ as its region ofdiscontinuity and π:Ώ→S is a holomorphic covering with G ascovering group. We look for a Schottky uniformization (Ώ, G, π:Ώ→S) of S such that for each transformation h in H there exists an automorphisms t of Ώ satisfying h ∘ π = π ∘ t."
1,"We build a database of genus 2 curves defined over Q which contains all curves with minimal absolute height h≤ 5, all curves with moduli height h≤ 20, and all curves with extra automorphisms in standard form y2= f (x2) defined over Q with height h≤ 101. For each isomorphism class in the database, an equation over its minimal field of definition is provided, the automorphism group of the curve, Clebsch and Igusa invariants. The distribution of rational points in the moduli space M2 for which the field of moduli is a field of definition is discussed and some open problems are presented."
1," The isogenous decomposition of the Jacobian variety of classical Fermat curve of prime degree  has been obtained by Aoki using techniques of number theory, by Barraza and Rojas in terms of decompositions of the algebra of groups, and by Hidalgo and Rodríguez using Kani–Rosen results. In the last, it was seen that all factors in the isogenous decomposition are Jacobian varieties of certain cyclic -gonal curves. The highest Abelian branched covers of an orbifold of genus 0 with exactly  branch points, each one of order , are provided by the so-called generalized Fermat curves of type ; these being a suitable fiber product of  Fermat curves of degree . In this paper, we provide a decomposition, up to isogeny, of the Jacobian variety of a generalized Fermat curve  of type  as a product of Jacobian varieties of certain cyclic -gonal curves, whose explicit equations are provided in terms of the …"
1,"The determination of the full group of automorphisms of a closed Riemann surface is in general a very complicated task. For hyperelliptic curves, the uniqueness of the hyperelliptic involution permits one to compute these groups in a very simple manner. Similarly, as classical Fermat curves of degree k admit a unique subgroup of automorphisms isomorphic to Zk2, the determination of the group of automorphisms is not difficult. In this paper we consider a family of non-hyperelliptic Riemann surfaces, obtained as the fibre product of two classical Fermat curves of the same degree k, which exhibit behaviors of both elliptic and hyperelliptic curves. These curves, called generalized Fermat curves of type (k,3), are the highest regular abelian branched covers of orbifolds of genus zero with four cone points, all of the same order k. More precisely, a generalized Fermat curve of type (k,3) is a closed Riemann surface S …"
1,"We introduce coordinates, given by fixed points, for the marked Schottky space Sg of genus g ⩾ 2. With these coordinates, different to the ones given by Bers, Sato and Gerritzen, we can think of the space Sg as an open subset of C×C3g−4. A partial closure of Sg, denoted by NSg and called the marked noded Schottky space of genus g, is considered. Each point in NSg corresponds to a geometrically finite free group of rank g, called a (marked) noded Schottky group of genus g, Conversely, each such group corresponds to a point in NSg. We have that each noded Schottky group of genus g uniformizes a stable Riemann surface of genus g. Moreover, we show that every stable Riemann surface is uniformized by such a group (retrosection theorem with nodes)."
1,"We define the mixed elliptically fixed point (MEFP) property for Kleinian groups. Such a property is a set of possibilities for the locations on the Riemann sphere of the fixed points of elliptic elements in Kleinian groups. We show that the MEFP property is invariant under the operations given by the Maskit–Klein combination theorems. As a consequence, we obtain that finitely generated function groups satisfy such a property. We also show that geometrically finite Kleinian groups satisfy the MEFP property. Examples of Kleinian groups where such a property does not hold are provided."
1,"A superelliptic curve X of genus g≥ 2 is not necessarily defined over its field of moduli but it can be defined over a quadratic extension of it. While a lot of work has been done by many authors to determine which hyperelliptic curves are defined over their field of moduli, less is known for superelliptic curves.In this paper we observe that if the reduced group of a genus g≥ 2 superelliptic curve X is different from the trivial or cyclic group, then X can be defined over its field of moduli; in the cyclic situation we provide a sufficient condition for this to happen. We also determine those families of superelliptic curves of genus at most 10 which might not be definable over their field of moduli."
1," It is well known that every closed Riemann surface  of genus , admitting a group  of conformal automorphisms so that  has triangular signature, can be defined over a finite extension of . It is interesting to know, in terms of the algebraic structure of , if  can in fact be defined over . This is the situation if  is either abelian or isomorphic to , where  is an abelian group. On the other hand, as shown by Streit and Wolfart, if , where  are prime integers, then  is not necessarily definable over . In this paper, we observe that if  with , then  can be defined over . Moreover, we describe explicit models for , the corresponding groups of automorphisms, and an isogenous decomposition of their Jacobian varieties as product of Jacobians of hyperelliptic Riemann surfaces."
1,"revised July 27, 1992) Abstract. We extend a result on homology coverings of closed Riemann surfaces due to Maskit [1] to the class of analytically finite ones. We show that if S is an analytically finite hyperbolic Riemann surface, then its conformal structure is determined by the conformal structure of its homology cover. The homology cover of a Riemann surface S is the highest regular covering of S with an Abelian group of covering transformations. In fact, we show that the commutator subgroup of any torsion-free, finitely generated Fuchsian group of the first kind determines it uniquely."
